,date,open,close,high,low,volume,code,m5,m10,m30
161,2015/2/27,12.22,12.262,12.49,11.907,5515532,600000,12.1504,12.6567,10.1634
162,2015/3/6,12.304,11.502,12.304,11.401,9962723,600000,12.0086,12.5605,10.27843333
163,2015/3/13,11.654,12.903,13.334,11.485,19776759,600000,12.211,12.5267,10.43623333
164,2015/3/20,13.131,13.291,13.578,12.827,17537514,600000,12.4338,12.5537,10.6109
165,2015/3/27,13.351,12.962,13.536,12.692,15144962,600000,12.584,12.46,10.77656667
166,2015/4/3,13.123,13.671,13.992,13.03,20178192,600000,12.8658,12.5081,10.95826667
167,2015/4/10,13.924,14.794,14.827,13.882,19659553,600000,13.5242,12.7664,11.18136667
168,2015/4/17,15.182,15.697,16.076,14.819,23100312,600000,14.083,13.147,11.42753333
169,2015/4/24,15.798,14.92,15.798,14.735,21479178,600000,14.4088,13.4213,11.65143333
170,2015/4/30,14.954,15.249,16.034,14.954,17557495,600000,14.8662,13.7251,11.88546667
171,2015/5/8,15.19,14.439,15.19,14.194,13360094,600000,15.0198,13.9428,12.09023333
172,2015/5/15,14.329,14.161,14.684,14,11435332,600000,14.8932,14.2087,12.2852
173,2015/5/22,14.026,14.988,15.013,13.789,11099730,600000,14.7514,14.4172,12.5125
174,2015/5/29,15.064,14.38,15.739,14.102,14626017,600000,14.6434,14.5261,12.7049
175,2015/6/5,14.38,15.553,16.178,14.228,15897393,600000,14.7042,14.7852,12.93696667
176,2015/6/19,15.604,14.405,16.017,14.211,10695055,600000,14.6974,14.8586,13.1105
177,2015/6/26,14.529,13.999,15.668,13.54,11889998,600000,14.665,14.7791,13.2736
178,2015/7/3,14.396,14.016,14.997,13.08,16816085,600000,14.4706,14.611,13.392
179,2015/7/10,15.368,15.262,16.03,13.584,34041414,600000,14.647,14.6452,13.52013333
180,2015/7/17,15.006,15.032,15.438,14.449,14039039,600000,14.5428,14.6235,13.65606667
181,2015/7/24,15.014,14.255,15.041,14.246,6876735,600000,14.5128,14.6051,13.73486667
182,2015/7/31,14.131,13.31,14.22,12.912,9609080,600000,14.375,14.52,13.76306667
183,2015/8/7,13.239,13.663,13.84,13.124,4863873,600000,14.3044,14.3875,13.77713333
184,2015/8/14,13.645,13.681,14.008,13.504,4416168,600000,13.9882,14.3176,13.79913333
185,2015/8/21,13.61,12.559,13.707,12.541,7303167,600000,13.4936,14.0182,13.75446667
186,2015/8/28,12.303,12.577,12.647,10.519,12805042,600000,13.158,13.8354,13.73403333
187,2015/9/2,12.541,13.151,13.575,12.33,7625783,600000,13.1262,13.7506,13.76536667
188,2015/9/11,13.01,13.743,13.831,12.506,13551377,600000,13.1422,13.7233,13.8271
189,2015/9/18,13.69,13.275,14.087,13.186,4574157,600000,13.061,13.5246,13.8637
190,2015/9/25,13.213,13.769,13.796,12.965,3486760,600000,13.303,13.3983,13.91563333
191,2015/9/30,13.734,14.688,14.705,13.619,4166541,600000,13.7252,13.4416,13.9965
192,2015/10/9,14.838,14.043,14.838,13.981,1815829,600000,13.9036,13.5149,14.0812
193,2015/10/14,14.043,14.043,14.352,13.893,1926298,600000,13.9636,13.5529,14.1192
194,2015/10/30,14.158,14.476,14.732,14.158,3714270,600000,14.2038,13.6324,14.1587
195,2015/11/6,14.396,15.792,16.057,14.326,5230554,600000,14.6084,13.9557,14.25303333
196,2015/11/13,15.827,15.527,16.949,15.147,5416005,600000,14.7762,14.2507,14.3149
197,2015/11/20,15.315,16.313,16.454,15.191,4170179,600000,15.2302,14.5669,14.36553333
198,2015/11/27,16.348,16.366,17.399,16.251,9476704,600000,15.6948,14.8292,14.38783333
199,2015/12/4,16.286,16.525,17.664,15.544,4952944,600000,16.1046,15.1542,14.44133333
200,2015/12/11,16.525,16.428,17.77,16.277,5594392,600000,16.2318,15.4201,14.48063333
201,2015/12/18,16.171,16.613,17.487,15.924,3066391,600000,16.449,15.6126,14.5531
202,2015/12/25,16.595,17.063,17.205,16.375,3143401,600000,16.599,15.9146,14.64983333
203,2015/12/31,17.108,16.136,17.161,16.127,1608924,600000,16.553,16.1239,14.6881
204,2016/1/8,16.145,15.447,16.145,14.935,2303365,600000,16.3374,16.221,14.72366667
205,2016/1/15,15.2,15.527,16.03,14.917,2949827,600000,16.1572,16.1945,14.7228
206,2016/1/22,15.394,15.032,15.889,14.564,1747091,600000,15.841,16.145,14.7437
207,2016/1/29,15.014,14.926,15.165,14.025,1924610,600000,15.4136,16.0063,14.7746
208,2016/2/5,15.006,16.233,16.242,14.493,2078757,600000,15.433,15.993,14.8485
209,2016/2/15,15.88,16.295,16.322,15.721,672963,600000,15.6026,15.97,14.88293333
210,2016/3/11,15.465,14.988,15.483,14.67,982403,600000,15.4948,15.826,14.88146667
211,2016/3/18,14.908,15.756,16.065,14.847,3274911,600000,15.6396,15.7403,14.9315
212,2016/3/25,15.703,15.668,16.454,15.615,1546603,600000,15.788,15.6008,15.0101
213,2016/4/1,15.703,16.057,16.118,15.341,1387874,600000,15.7528,15.5929,15.0899
214,2016/4/8,15.845,15.544,16.154,15.483,1122308,600000,15.6026,15.6026,15.152
215,2016/4/15,15.544,15.8,15.951,15.483,1239777,600000,15.765,15.6299,15.26003333
216,2016/4/22,15.677,16.11,16.216,15.288,1783360,600000,15.8358,15.7377,15.3778
217,2016/4/29,16.03,15.748,16.039,15.677,926668,600000,15.8518,15.8199,15.46436667
218,2016/5/6,15.853,15.659,16.11,15.642,892389,600000,15.7722,15.7625,15.52823333
